id,question,A,B,C,D,answer
5,"(VL1.3)Hạt nhân cesium có bao nhiêu neutron?
Hướng dẫn giải
CĐTD: Vận dụng
TPNL: VL3.1
Phương trình phân rã của xenon  là
Dùng định luật bảo toàn số nuclon và định luật bảo toàn điện tích ta được
Cesium  có 55 proton và  neutron.",,,,,"Đáp án: C
CĐTD: Vận dụng
TPNL: VL2.4
Công suất tiêu thụ điện của máy làm nóng nước là"
6,"(VL2.4)Độ phóng xạ của mẫu xenon  khi bệnh nhân sử dụng là . Tìm  (làm tròn kết quả đến chữ số hàng phần trăm).
Hướng dẫn giải
CĐTD: Vận dụng
TPNL: VL3.1
Độ phóng xạ của mẫu khi bệnh nhân sử dụng là",,,,,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Theo định luật Charles, khi áp suất của khối khí lí tưởng xác định không đổi thì thể tích và nhiệt độ tuyệt đối của khối khí tỉ lệ thuận với nhau. Do đó, thể tích của khối khí tăng 2 lần (từ  lên ) thì nhiệt độ tuyệt đối của nó tăng 2 lần."
1,Nội năng của một hệ là,hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.,tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.,năng lượng sinh ra từ phản ứng hóa học trong hệ.,tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.,"Đáp án: B
A. hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.
B. tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.
C. năng lượng sinh ra từ phản ứng hóa học trong hệ.
D. tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.
NLVL:VL 1.1
CĐTD: Biết"
2,Nội năng của khối khí lí tưởng phụ thuộc vào,áp suất.,thể tích.,nhiệt độ.,thể tích và nhiệt độ.,"Đáp án: C
Đối với khí lí tưởng có thể bỏ qua tương tác giữa các phân tử khí. Do đó nội năng khối khí lí tưởng không phụ thuộc vào thể tích của khối khí mà chỉ phụ thuộc nhiệt độ của khối khí.
NLVL:VL 1.3
CĐTD: Biết"
3,Biển cảnh báo dưới đây dùng để cảnh báo,rò điện.,có bề mặt nóng.,có chất phóng xạ.,có vật sắc nhọn.,"Đáp án: B
A. rò điện.	B. có bề mặt nóng.	C. có chất phóng xạ.	D. có vật sắc nhọn.
NLVL:VL 1.4
CĐTD: Biết"
4,Công thức tính động năng chuyển động nhiệt trung bình của một phân tử chất khí là,.,.,.,.,"Đáp án: D
A. .	B. .	C. .	D. .
NLVL:VL 1.5
CĐTD: Biết"
5,"Một viên nước đá khối lượng 50 gam rơi ra khỏi li nước và nằm trên mặt bàn trong không khí ở nhiệt độ 20oC. Biết nhiệt nóng chảy của nước đá là . Biết công suất hấp thụ nhiệt từ môi trường (mặt bàn và không khí) của nước đá ở điều kiện bài toán là 28,3 J/s. Thời gian để viên đá tan hoàn toàn xấp xỉ là",601 giây.,512 giây.,900 giây.,8 phút.,"Đáp án: A
Nhiệt lượng cần thiết để làm tan hết viên nước đá
Thời gian để tan hết viên nước đá là:"
6,"Tiến sĩ Mark Mendell, nhà dịch tễ học của Bộ Y tế Công cộng California, Mỹ, cho biết ngồi điều hòa quá lâu khiến da bị khô, cơ thể mất nước, dễ mắc bệnh về hô hấp. Nguyên nhân này được cho là Quá trình làm mát không khí nóng của máy lạnh tạo ra lượng lớn độ ẩm và ngưng tụ trong phòng. Để đảm bảo không khí trong phòng khô thoáng máy lạnh hút độ ẩm từ trong phòng. Nguyên nhân nào sau đây không phải nguyên nhân gây ra khô da, cơ thể mất nước khi ngồi máy lạnh là do",nhiệt độ phòng máy lạnh thấp nên quá trình bay hơi của nước trên bề mặt lớp da kém.,nhiệt độ cơ thể cao hơn nhiệt độ môi trường nên quá trình bay hơi diễn ra nhanh hơn.,độ ẩm môi trường thấp làm quá trình bay hơi của nước trên bề mặt lớp da diễn ra nhanh.,độ ẩm không khí thấp và chênh lệch nhiệt độ cơ thể và môi trường cao.,"Đáp án: B
Nhiệt độ phòng thấp trong khi nhiệt độ cơ thể duy trì ở nhiệt đô 37oC. Chênh lệch nhiệt độ lớn nên quá trình bay hơi diễn ra nhanh hơn."
7,Công thức nào sau đây phù hợp với quá trình đẳng tích của một khối khí xác định.,là một hằng số.,là một hằng số.,là một hằng số.,là một hằng số.,"Đáp án: D
A.  là một hằng số.		B. là một hằng số.
C.  là một hằng số.			D.  là một hằng số.
NLVL:VL 1.1
CĐTD: Biết"
8,"Một khối khí xác định biến đổi trạng thái như đồ thị dưới đây.
Trong những nhận định sau, nhận định nào sai?",.,V1’ = V2.,,T1 = T1’.,"Đáp án: C
Quá trình biến đổi từ trạng thái (1) sang trạng thái (1’) là quá trình đẳng nhiệt.
=> D đúng
Quá trình (1’) sang (2) là quá trình đẳng tích V1’ = V2 => B đúng
Ta có
Mà T1’ = T1 do đó ta suy ra
=> A đúng
Do đó từ trạng thái (1) sang trạng thái (2) không phải quá trình đẳng tích.
Vậy là đáp án sai."
9,Một hạt proton được phóng với vận tốc ban đầu theo phương song song cùng chiều với một dòng điện không đổi có cường độ dòng điện I. Sau đó hạt proton sẽ chuyển động,hướng lại gần dòng điện.,hướng ra xa dòng điện.,quanh dòng điện theo chiều kim đồng hồ.,quanh dòng điện theo chiều ngược chiều kim đồng hồ.,"Đáp án: A
Lực tác dụng lên hạt proton như hình vẽ.
Do đó lực từ tác dụng lên hạt proton kéo hạt chuyển động lại gần dòng điện."
10,"Để đưa thuốc từ lọ vào trong xilanh của ống tiêm (như hình bên), ban đầu nhân viên y tế đẩy pit-tông sát đầu trên của xi-lanh, sau đó đưa đầu kim tiêm vào trong lọ thuốc.
Khi kéo pit-tông từ từ sao cho nhiệt độ không đổi, thuốc sẽ vào trong xilanh. Thể tích khí trong xi lanh",tăng đồng thời áp suất khí tăng.,giảm đồng thời áp suất khí giảm.,và áp suất khí đồng thời không thay đổi.,tăng đồng thời áp suất khí giảm.,"Đáp án: 
pV= hằng số. Ban đầu, pít-tông sát đáy xylanh nên thể tích khí nhỏ. Khi kéo pít-tông lên, thể tích khí trong xylanh tăng. Kết quả:  V tăng →  p giảm. Kết luận: Thể tích tăng đồng thời áp suất giảm."
11,"Trong các bức xạ điện từ có bước sóng : ; ; ; , bức xạ dùng trong thông tin với các vệ tinh là",.,.,.,.,"Đáp án: A
Sóng có bước sóng  là sóng cực ngắn. Sóng cực ngắn dùng trong thông tin vệ tinh."
12,Công nghệ sạc không dây trong các điện thoại thông minh là thiết bị ứng dụng thực tế của hiện tượng,cộng hưởng điện.,cộng hưởng cơ học.,giao thoa sóng điện từ.,cảm ứng điện từ.,"Đáp án: D
A. cộng hưởng điện.		B. cộng hưởng cơ học.
C. giao thoa sóng điện từ.	D. cảm ứng điện từ.
NLVL:VL 2.1
CĐTD: Hiểu"
13,"Một khung dây dẫn diện tích S đặt vuông góc với đường sức của từ trường đều, cảm ứng từ có độ lớn B. Trong 0,5 s cảm ứng từ giảm đi một nửa thì suất điện động cảm ứng trong khung có độ lớn là",,,,,"Đáp án: A
Ta có"
14,"Từ thông qua một khung dây biến thiên theo thời gian biểu diễn như hình vẽ.
Gọi E1 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong 0,2s đầu tiên.
E2 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong khoàng thời gian 0,2s đến 0,3s.
E3 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong 0,3s từ thông biến thiên.
Nhận xét nào sau đây đúng khi nói về suất điện động cảm ứng trung bình trong khung dây ?",E1 > E2.,E1 = E2.,E1 = E3.,E2 > E3.,"Đáp án: D
Độ nghiêng đồ thị càng lớn thì suất điện động có độ lớn càng lớn."
15,Hạt nhân 23592U có năng lượng liên kết 1784 MeV. Năng lượng liên kết riêng của hạt nhân này là,"5,46 MeV/nuclôn.","12,48 MeV/nuclôn.","19,39 MeV/nuclôn.","7,59 MeV/nuclôn.","Đáp án: D
Năng lượng liên kết riêng là /nuclôn 7,59 MeV/nuclôn."
16,"Chất phóng xạ  có chu kỳ bán rã là T. Ban đầu có một mẫu nguyên chất với khối lượng 4g. Sau khoảng thời gian 2 chu kỳ liên tiếp, khối lượng chất  trong mẫu đã bị phân rã là","0,25g.",3g.,1g.,2g.,"Đáp án: B
A. 0,25g.	B. 3g.	C. 1g.	D. 2g.
NLVL:VL 3.3
CĐTD: Vận dụng
Hướng dẫn
Khối lượng đã phân rã được tính theo công thức:"
17,"Một hạt nhân có số khối A, bán kính hạt nhân tính theo đơn vị fm được tính theo công thức",.,.,.,.,"Đáp án: A
A. .	B. .	C. .	D. .
NLVL:VL 2.5
CĐTD: Hiểu"
18,"Trong sơ đồ của nhà máy điện hạt nhân, hơi nước trực tiếp là quay tuabin máy phát điện thuộc vòng trao đổi nhiệt nào?",Vòng trao đổi nhiệt sơ cấp (vòng 1).,Vòng trao đổi nhiệt thứ cấp (vòng 2).,Vòng trao đổi nhiệt sơ cấp và thứ cấp.,"Vòng trao đổi nhiệt thứ ba với các sông, hồ.","Đáp án: B
A. Vòng trao đổi nhiệt sơ cấp (vòng 1).	B. Vòng trao đổi nhiệt thứ cấp (vòng 2).
C. Vòng trao đổi nhiệt sơ cấp và thứ cấp.	D. Vòng trao đổi nhiệt thứ ba với các sông, hồ.
NLVL:VL 2.6
CĐTD: Hiểu
PHẦN II. Thí sinh trả lời từ câu 1 đến câu 4. Trong mỗi ý a), b), c), d) ở mỗi câu, thí sinh chọn đúng hoặc sai."
1,"Quả bóng thời tiết hay còn gọi là bóng thám không, là một công cụ quan trọng trong việc thu thập dữ liệu khí tượng phục vụ dự báo thời tiết.
a)  Bóng thường được bơm khí hiếm nhẹ hơn không khí, nhờ đó có thể bay lên các tầng không khí khác nhau để thu thập thông tin về nhiệt độ, độ ẩm, áp suất, tốc độ gió…
b) Bóng thám không thường chỉ bay tới độ cao khoảng 30km đến 40km là bị vỡ do áp suất trong bóng lớn hơn áp suất không khí bên ngoài, chênh lệch này vượt giới hạn của bóng.
c) Một quả bóng thời tiết được thả vào không gian, khí trong nó có thể tích 15,8 m3 và áp suất ban đầu bằng 105 000 Pa và nhiệt độ là 27 °C. Quả bóng thời tiết sẽ bị nổ ở áp suất 27640 Pa, thể tích tăng tới 39,5 m3 và tại đó, nhiệt độ của khí gần bằng - 700C.
d) Người ta muốn chế tạo một bóng thám không có thể tăng bán kính lên tới 15 m, khi bay ở tầng khí quyển có áp suất 0,3.105 Pa và nhiệt độ 200 K. Bóng được bơm ở áp suất 1,02.105 Pa và nhiệt độ 300 K. Khi vừa bơm xong bán kính của bóng là 10,4m.",,,"d) Người ta muốn chế tạo một bóng thám không có thể tăng bán kính lên tới 15 m, khi bay ở tầng khí quyển có áp suất 0,3.105 Pa và nhiệt độ 200 K. Bóng được bơm ở áp suất 1,02.105 Pa và nhiệt độ 300 K. Khi vừa bơm xong bán kính của bóng là 10,4m.",,"Đáp án: B
A. hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.
B. tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.
C. năng lượng sinh ra từ phản ứng hóa học trong hệ.
D. tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.
NLVL:VL 1.1
CĐTD: Biết"
2,"Khung dây đồng ABCD hình chữ nhật có kích thước 5 cm × 10 cm đặt vào từ trường đều có độ lớn cảm ứng từ 0,2 T. Vectơ cảm ứng từ hợp với mặt phẳng khung 60o.
a) Vector cảm ứng từ hợp với hợp với vector pháp tuyến của khung một góc 300.
b) Từ thông gửi qua khung dây có giá trị là
c) Nếu tăng độ lớn cảm ứng từ lên 2 lần đồng thời tăng số vòng của khung dây lên 100 vòng thì từ thông qua khung sẽ tăng lên 100 lần.
d) Nếu bóp méo khung dây đồng thì từ thông gửi qua mạch sẽ không thay đổi.",,,,,"Đáp án: C
Đối với khí lí tưởng có thể bỏ qua tương tác giữa các phân tử khí. Do đó nội năng khối khí lí tưởng không phụ thuộc vào thể tích của khối khí mà chỉ phụ thuộc nhiệt độ của khối khí.
NLVL:VL 1.3
CĐTD: Biết"
3,"Thả một quả cầu nhôm có khối lượng 150 g được đun nóng tới  vào một bình chứa nước  Sau một thời gian khi có cân bằng nhiệt thì nhiệt độ của nước trong bình là  Coi chỉ có quả cầu nhôm và nước trao đổi nhiệt với nhau. Biết nhiệt dung riêng của nhôm là , nhiệt dung riêng của nước là
a) Trong 2 vật quả cầu nhôm thu nhiệt và nước toả nhiệt.
b) Nhiệt lượng tỏa ra của vật tỏa nhiệt là 15840 J.
c) Khối lượng nước trong bình (lấy tròn 2 số thập phân) là 0,38 kg.
d) Khi có sự cân bằng nhiệt, để nước trong bình nóng đến  người ta bỏ vào bình quả cầu nhôm thứ 2 được nung nóng lên đến . Khối lượng của bình nhôm thứ 2 (lấy tròn 2 số thập phân) là 1,32 kg.",,,,,"Đáp án: B
A. rò điện.	B. có bề mặt nóng.	C. có chất phóng xạ.	D. có vật sắc nhọn.
NLVL:VL 1.4
CĐTD: Biết"
4,"Giải thưởng Nobel Hóa học năm 1960 thuộc về Willard F.Libby (1908-1980) cho công trình nghiên cứu chất phóng xạ , dùng để định tuổi trong khảo cổ, địa chất, địa vật lý học... Công trình nghiên cứu này bắt đầu từ 1950 khi Willard F.Libby làm việc tại Đại học Chicago, chính thức được công nhận năm 1955 và đến 1960 thì nó mang lại cho ông giải thưởng Nobel danh giá.
Khi còn sống, động thực vật tồn tại trong trạng thái cân bằng với môi trường xung quanh thông qua quá trình trao đổi carbon với khí quyển hoặc thông qua chế độ hấp thụ dinh dưỡng của chúng. Do vậy, lượng  trong chúng có tương quan với lượng  khí quyển. Để xác định tuổi của một mẫu gỗ cổ, các nhà nghiên cứu nhận thấy khi cây gỗ chết, lượng trong thân cây bị phân rã với chu kỳ 5730 năm. Tại thời điểm khảo sát mẫu gỗ cổ, các nhà nghiên cứu nhận thấy lượng chỉ bằng một phần ba lượng trong mẫu gỗ tương đương đang còn sống.
a) Khi lượng chất trong mẫu gỗ cổ càng bé so với mẫu gỗ tương đương đang còn sống thì tuổi cổ vật càng nhỏ.
b) Để xác định tuổi cổ vật các nhà nghiên cứu sử dụng định luật phân rã phóng xạ . Tuổi cố vật là đại lượng T.
c) Hằng số phân rã phóng xạ của đồng vị gần đúng là s-1.
d) Tuổi của cổ vật vào khoảng 9082 năm.",,,,,"Đáp án: D
A. .	B. .	C. .	D. .
NLVL:VL 1.5
CĐTD: Biết"
1,"Đặt 1,0 kg nước ở 250C vào tủ lạnh thì sau 65 phút lượng nước này chuyển thành băng (nước đá) ở –14,50C. Cho biết nhiệt nóng chảy riêng và nhiệt dung riêng của băng lần lượt là 0,34 MJ/kg và 2,1 kJ/kg.K; nhiệt dung riêng của nước là 4,2 kJ/kg.K. Công suất làm lạnh của tủ lạnh bằng bao nhiêu kilowatt (kW) (làm tròn kết quả đến chữ số hàng phần trăm)?",,,"Cho biết nhiệt nóng chảy riêng và nhiệt dung riêng của băng lần lượt là 0,34 MJ/kg và 2,1 kJ/kg.K; nhiệt dung riêng của nước là 4,2 kJ/kg.K. Công suất làm lạnh của tủ lạnh bằng bao nhiêu kilowatt (kW) (làm tròn kết quả đến chữ số hàng phần trăm)?",,"Đáp án: B
A. hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.
B. tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.
C. năng lượng sinh ra từ phản ứng hóa học trong hệ.
D. tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.
NLVL:VL 1.1
CĐTD: Biết"
2,"Một thiết bị dò bức xạ CR-39 trong môi trường không khí trong nhà có thể tích 40.10-6m3 người ta đo được số hạt nhân  phóng xạ trong 1s là 2 phân rã/s. Biết chu kỳ bán rã của  là 3,8 ngày. Số hạt nhân có trong 1m3 không khí bên trong căn nhà đó là x.1010. x có giá trị bao nhiêu? (làm tròn đến số thập phân thứ nhất)",,,,,"Đáp án: C
Đối với khí lí tưởng có thể bỏ qua tương tác giữa các phân tử khí. Do đó nội năng khối khí lí tưởng không phụ thuộc vào thể tích của khối khí mà chỉ phụ thuộc nhiệt độ của khối khí.
NLVL:VL 1.3
CĐTD: Biết"
3,"Hình vẽ bên là đồ thị biểu diễn mối quan hệ giữa áp suất p và nhiệt độ T của quá trình biến đổi trạng thái của một lượng khí xác định.
Nhiệt độ khối khí ở trạng thái (1) bằng bao nhiêu độ K (làm tròn kết quả đến chữ số hàng đơn vị)?",,,,,"Đáp án: B
A. rò điện.	B. có bề mặt nóng.	C. có chất phóng xạ.	D. có vật sắc nhọn.
NLVL:VL 1.4
CĐTD: Biết"
4,"Một khung dây có 1000 vòng được đặt trong từ trường đều sao cho các đường sức từ vuông góc với mặt phẵng của khung. Diện tích mặt phẳng giới hạn bởi mỗi vòng là 2 dm2. Cảm ứng từ của từ trường giảm đều từ 0,5 T đến 0,2 T trong thời gian 0,1 s. Suất điện động cảm ứng xuất hiện trong trong khung dây có giá trị bằng bao nhiêu V?",,,,,"Đáp án: D
A. .	B. .	C. .	D. .
NLVL:VL 1.5
CĐTD: Biết"
5,"Vào vụ Đông Xuân ở miền Bắc nước ta, do thời tiết lạnh, khi ngâm thóc giống để gieo cấy, người ta thường dùng nước ấm khoảng 40°C bằng cách đun sôi nước rồi pha với nước lạnh để kích thích hạt nảy mầm. Một người nông dân cần ngâm 10 kg thóc giống với tỷ lệ 3 lít nước (ở 40°C) cho mỗi kg thóc.
Lấy khối lượng riêng của nước là 1 kg/lít. Coi sự trao đổi nhiệt với bên ngoài và sự thay đổi khối lượng riêng của nước theo nhiệt độ không đáng kể. Phải đổ bao nhiêu lít nước sôi 100oC vào nước lạnh 10°C để đủ ngâm số thóc trên (làm tròn kết quả đến chữ số hàng đơn vị)?",,,,,"Đáp án: A
Nhiệt lượng cần thiết để làm tan hết viên nước đá
Thời gian để tan hết viên nước đá là:"
6,"Nhiệt độ của một khối khí là 3865K thì động năng tịnh tiến trung bình của các phân tử khí đó bằng bao nhiêu eV? Biết 1 eV = 1,6.10-19 J. (làm tròn kết quả đến chữ số hàng phần mười)?
---------------HẾT----------------
-Thí sinh không được sử dụng tài liệu.
-Giám thị không giải thích gì thêm.
HƯỚNG DẪN GIẢI",,,,,"Đáp án: B
Nhiệt độ phòng thấp trong khi nhiệt độ cơ thể duy trì ở nhiệt đô 37oC. Chênh lệch nhiệt độ lớn nên quá trình bay hơi diễn ra nhanh hơn."
1,Nội năng của một hệ là,hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.,tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.,năng lượng sinh ra từ phản ứng hóa học trong hệ.,"tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.
NLVL:VL 1.1
CĐTD: Biết","Đáp án: B
A. hiệu giữa công hệ nhận được và nhiệt lượng mà hệ truyền ra bên ngoài.
B. tổng năng lượng do chuyển động và tương tác của các phân tử trong hệ.
C. năng lượng sinh ra từ phản ứng hóa học trong hệ.
D. tổng công và nhiệt lượng mà hệ nhận được từ bên ngoài.
NLVL:VL 1.1
CĐTD: Biết"
2,Nội năng của khối khí lí tưởng phụ thuộc vào,áp suất.,thể tích.,nhiệt độ.,"thể tích và nhiệt độ.
Hướng dẫn giải
Đối với khí lí tưởng có thể bỏ qua tương tác giữa các phân tử khí. Do đó nội năng khối khí lí tưởng không phụ thuộc vào thể tích của khối khí mà chỉ phụ thuộc nhiệt độ của khối khí.
NLVL:VL 1.3
CĐTD: Biết","Đáp án: C
Đối với khí lí tưởng có thể bỏ qua tương tác giữa các phân tử khí. Do đó nội năng khối khí lí tưởng không phụ thuộc vào thể tích của khối khí mà chỉ phụ thuộc nhiệt độ của khối khí.
NLVL:VL 1.3
CĐTD: Biết"
3,Biển cảnh báo dưới đây dùng để cảnh báo,rò điện.,có bề mặt nóng.,có chất phóng xạ.,"có vật sắc nhọn.
NLVL:VL 1.4
CĐTD: Biết","Đáp án: B
A. rò điện.	B. có bề mặt nóng.	C. có chất phóng xạ.	D. có vật sắc nhọn.
NLVL:VL 1.4
CĐTD: Biết"
4,Công thức tính động năng chuyển động nhiệt trung bình của một phân tử chất khí là,.,.,.,".
NLVL:VL 1.5
CĐTD: Biết","Đáp án: D
A. .	B. .	C. .	D. .
NLVL:VL 1.5
CĐTD: Biết"
5,"Một viên nước đá khối lượng 50 gam rơi ra khỏi li nước và nằm trên mặt bàn trong không khí ở nhiệt độ 20oC. Biết nhiệt nóng chảy của nước đá là . Biết công suất hấp thụ nhiệt từ môi trường (mặt bàn và không khí) của nước đá ở điều kiện bài toán là 28,3 J/s. Thời gian để viên đá tan hoàn toàn xấp xỉ là",601 giây.,512 giây.,900 giây.,"8 phút.
NLVL:VL 3.1
CĐTD: Vận dụng
Hướng dẫn giải
Nhiệt lượng cần thiết để làm tan hết viên nước đá
Thời gian để tan hết viên nước đá là:","Đáp án: A
Nhiệt lượng cần thiết để làm tan hết viên nước đá
Thời gian để tan hết viên nước đá là:"
6,"Tiến sĩ Mark Mendell, nhà dịch tễ học của Bộ Y tế Công cộng California, Mỹ, cho biết ngồi điều hòa quá lâu khiến da bị khô, cơ thể mất nước, dễ mắc bệnh về hô hấp. Nguyên nhân này được cho là Quá trình làm mát không khí nóng của máy lạnh tạo ra lượng lớn độ ẩm và ngưng tụ trong phòng. Để đảm bảo không khí trong phòng khô thoáng máy lạnh hút độ ẩm từ trong phòng. Nguyên nhân nào sau đây không phải nguyên nhân gây ra khô da, cơ thể mất nước khi ngồi máy lạnh là do",nhiệt độ phòng máy lạnh thấp nên quá trình bay hơi của nước trên bề mặt lớp da kém.,nhiệt độ cơ thể cao hơn nhiệt độ môi trường nên quá trình bay hơi diễn ra nhanh hơn.,Chênh lệch nhiệt độ lớn nên quá trình bay hơi diễn ra nhanh hơn.,"độ ẩm không khí thấp và chênh lệch nhiệt độ cơ thể và môi trường cao.
NLVL:VL 2.2
CĐTD: Hiểu
Hướng dẫn giải
Nhiệt độ phòng thấp trong khi nhiệt độ cơ thể duy trì ở nhiệt đô 37o","Đáp án: B
Nhiệt độ phòng thấp trong khi nhiệt độ cơ thể duy trì ở nhiệt đô 37oC. Chênh lệch nhiệt độ lớn nên quá trình bay hơi diễn ra nhanh hơn."
7,Công thức nào sau đây phù hợp với quá trình đẳng tích của một khối khí xác định.,là một hằng số.,là một hằng số.,là một hằng số.,"là một hằng số.
NLVL:VL 1.1
CĐTD: Biết","Đáp án: D
A.  là một hằng số.		B. là một hằng số.
C.  là một hằng số.			D.  là một hằng số.
NLVL:VL 1.1
CĐTD: Biết"
8,"Một khối khí xác định biến đổi trạng thái như đồ thị dưới đây.
Trong những nhận định sau, nhận định nào sai?",.,V1’ = V2.,,"T1 = T1’.
NLVL:VL 2.2
CĐTD: Hiểu
Hướng dẫn giải
Quá trình biến đổi từ trạng thái (1) sang trạng thái (1’) là quá trình đẳng nhiệt.
=> D đúng
Quá trình (1’) sang (2) là quá trình đẳng tích V1’ = V2 => B đúng
Ta có
Mà T1’ = T1 do đó ta suy ra
=> A đúng
Do đó từ trạng thái (1) sang trạng thái (2) không phải quá trình đẳng tích.
Vậy là đáp án sai.","Đáp án: C
Quá trình biến đổi từ trạng thái (1) sang trạng thái (1’) là quá trình đẳng nhiệt.
=> D đúng
Quá trình (1’) sang (2) là quá trình đẳng tích V1’ = V2 => B đúng
Ta có
Mà T1’ = T1 do đó ta suy ra
=> A đúng
Do đó từ trạng thái (1) sang trạng thái (2) không phải quá trình đẳng tích.
Vậy là đáp án sai."
9,Một hạt proton được phóng với vận tốc ban đầu theo phương song song cùng chiều với một dòng điện không đổi có cường độ dòng điện I. Sau đó hạt proton sẽ chuyển động,hướng lại gần dòng điện.,hướng ra xa dòng điện.,quanh dòng điện theo chiều kim đồng hồ.,"quanh dòng điện theo chiều ngược chiều kim đồng hồ.
NLVL:VL 2.1
CĐTD: Hiểu
Hướng dẫn giải
Lực tác dụng lên hạt proton như hình vẽ.
Do đó lực từ tác dụng lên hạt proton kéo hạt chuyển động lại gần dòng điện.","Đáp án: A
Lực tác dụng lên hạt proton như hình vẽ.
Do đó lực từ tác dụng lên hạt proton kéo hạt chuyển động lại gần dòng điện."
10,"Để đưa thuốc từ lọ vào trong xilanh của ống tiêm (như hình bên), ban đầu nhân viên y tế đẩy pit-tông sát đầu trên của xi-lanh, sau đó đưa đầu kim tiêm vào trong lọ thuốc.
Khi kéo pit-tông từ từ sao cho nhiệt độ không đổi, thuốc sẽ vào trong xilanh. Thể tích khí trong xi lanh",tăng đồng thời áp suất khí tăng.,giảm đồng thời áp suất khí giảm.,và áp suất khí đồng thời không thay đổi.,"tăng đồng thời áp suất khí giảm.
NLVL:VL 2.1
CĐTD: Hiểu
Hướng dẫn giải
pV= hằng số. Ban đầu, pít-tông sát đáy xylanh nên thể tích khí nhỏ. Khi kéo pít-tông lên, thể tích khí trong xylanh tăng. Kết quả:  V tăng →  p giảm. Kết luận: Thể tích tăng đồng thời áp suất giảm.","Đáp án: 
pV= hằng số. Ban đầu, pít-tông sát đáy xylanh nên thể tích khí nhỏ. Khi kéo pít-tông lên, thể tích khí trong xylanh tăng. Kết quả:  V tăng →  p giảm. Kết luận: Thể tích tăng đồng thời áp suất giảm."
11,"Trong các bức xạ điện từ có bước sóng : ; ; ; , bức xạ dùng trong thông tin với các vệ tinh là",.,.,.,".
NLVL:VL 3.3
CĐTD: Vận dụng
Hướng dẫn giải
Sóng có bước sóng  là sóng cực ngắn. Sóng cực ngắn dùng trong thông tin vệ tinh.","Đáp án: A
Sóng có bước sóng  là sóng cực ngắn. Sóng cực ngắn dùng trong thông tin vệ tinh."
12,Công nghệ sạc không dây trong các điện thoại thông minh là thiết bị ứng dụng thực tế của hiện tượng,cộng hưởng điện.,cộng hưởng cơ học.,giao thoa sóng điện từ.,"cảm ứng điện từ.
NLVL:VL 2.1
CĐTD: Hiểu","Đáp án: D
A. cộng hưởng điện.		B. cộng hưởng cơ học.
C. giao thoa sóng điện từ.	D. cảm ứng điện từ.
NLVL:VL 2.1
CĐTD: Hiểu"
13,"Một khung dây dẫn diện tích S đặt vuông góc với đường sức của từ trường đều, cảm ứng từ có độ lớn B. Trong 0,5 s cảm ứng từ giảm đi một nửa thì suất điện động cảm ứng trong khung có độ lớn là",,,,"NLVL:VL 2.3
CĐTD: Hiểu
Hướng dẫn giải
Ta có","Đáp án: A
Ta có"
14,"Từ thông qua một khung dây biến thiên theo thời gian biểu diễn như hình vẽ.
Gọi E1 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong 0,2s đầu tiên.
E2 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong khoàng thời gian 0,2s đến 0,3s.
E3 là độ lớn suất điện động cảm ứng xuất hiện trong khung trong 0,3s từ thông biến thiên.
Nhận xét nào sau đây đúng khi nói về suất điện động cảm ứng trung bình trong khung dây ?",E1 > E2.,E1 = E2.,E1 = E3.,"E2 > E3.
NLVL:VL 2.4
CĐTD: Hiểu
Hướng dẫn giải
Độ nghiêng đồ thị càng lớn thì suất điện động có độ lớn càng lớn.","Đáp án: D
Độ nghiêng đồ thị càng lớn thì suất điện động có độ lớn càng lớn."
15,Hạt nhân 23592U có năng lượng liên kết 1784 MeV. Năng lượng liên kết riêng của hạt nhân này là,"5,46 MeV/nuclôn.","12,48 MeV/nuclôn.","19,39 MeV/nuclôn.","7,59 MeV/nuclôn.
NLVL:VL 3.1
CĐTD: Vận dụng
Hướng dẫn giải
Năng lượng liên kết riêng là /nuclôn 7,59 MeV/nuclôn.","Đáp án: D
Năng lượng liên kết riêng là /nuclôn 7,59 MeV/nuclôn."
